app_user_id,first_name,last_name,app_user_status_id,email_address,active_flag
1,Lane,Dever,1,LaneD@dever.com,1
2,Alexa,Flick,1,AlexaF@dever.com,1
3,Frannie,Dever,1,FrannieD@dever.com,1
4,Joe,Shmoe,1,JoeS@dever.com,1
5,Tim,Bullock,1,TimB@dever.com,1
6,Derek,Mueller,1,DerekM@dever.com,1
7,Tyler,DeSantis,1,TylerD@dever.com,1
8,Paul,Reeder,1,PaulR@dever.com,1
9,Belinda,Otter,1,BelindaO@dever.com,1
10,Chandlar,Latch,1,ChandlarL@dever.com,1
11,Jean,Carter,1,JeanC@dever.com,1
12,Lisa,Drew,1,LisaD@dever.com,1
13,Lynn,Zorro,1,LynnZ@dever.com,1
14,Melissa,Miller,1,MelissaM@dever.com,1
